Date,Event_Type,Description,Likely_Impact
2006-12-28,Holiday Season,World Championship Qualifier begins,Neutral
2016-07-14,Product Reprint,Introduction of Link Summoning,Negative
2017-09-27,Major Tournament,Reprint of staple cards,Negative
2022-08-18,Product Reprint,Black Friday sale season,Positive
2020-09-05,Holiday Season,Black Friday sale season,Negative
2020-11-10,Anime Tie-In,World Championship Qualifier begins,Negative
2021-03-05,Product Reprint,Black Friday sale season,Neutral
2009-05-13,Game Mechanic Change,Black Friday sale season,Positive
2020-01-02,Game Mechanic Change,Launch of Yu-Gi-Oh! VRAINS,Negative
2011-07-14,Game Mechanic Change,Reprint of staple cards,Positive
2007-02-07,Anime Tie-In,Launch of Yu-Gi-Oh! VRAINS,Negative
2019-07-25,Anime Tie-In,World Championship Qualifier begins,Positive
2005-06-10,Holiday Season,Black Friday sale season,Negative
2016-03-03,Holiday Season,Black Friday sale season,Positive
2008-08-21,Holiday Season,Black Friday sale season,Neutral
